"FIPS","STATEFP","COUNTYFP","CD115FP"
"1715101","17","101","15"
"1715119","17","119","15"
"1715121","17","121","15"
"1715127","17","127","15"
"1715139","17","139","15"
"1715151","17","151","15"
"1715159","17","159","15"
"1715165","17","165","15"
"1715173","17","173","15"
"1715183","17","183","15"
"1715185","17","185","15"
"1715189","17","189","15"
"1715191","17","191","15"
"1715193","17","193","15"
"1716007","17","7","16"
"1716011","17","11","16"
"1716037","17","37","16"
"1716053","17","53","16"
"1716063","17","63","16"
"1716075","17","75","16"
"1716099","17","99","16"
"1716103","17","103","16"
"1716105","17","105","16"
"1716141","17","141","16"
"1716155","17","155","16"
"1716175","17","175","16"
"1716197","17","197","16"
"1716201","17","201","16"
"1717015","17","15","17"
"1717057","17","57","17"
"1717071","17","71","17"
"1717073","17","73","17"
"1717085","17","85","17"
"1717095","17","95","17"
"1717131","17","131","17"
"1717143","17","143","17"
"1717161","17","161","17"
"1717177","17","177","17"
"1717179","17","179","17"
"1717187","17","187","17"
"1717195","17","195","17"
"1717201","17","201","17"
"1718001","17","1","18"
"1718009","17","9","18"
"1718017","17","17","18"
"1718067","17","67","18"
"1718107","17","107","18"
"1718109","17","109","18"
"1718113","17","113","18"
"1718123","17","123","18"
"1718125","17","125","18"
"1718129","17","129","18"
"1718137","17","137","18"
"1718143","17","143","18"
"1718149","17","149","18"
"1718167","17","167","18"
"1718169","17","169","18"
"1718171","17","171","18"
"1718175","17","175","18"
"1718179","17","179","18"
"1718203","17","203","18"
"1801089","18","89","1"
"1801091","18","91","1"
"1801127","18","127","1"
"1802039","18","39","2"
"1802049","18","49","2"
"1802085","18","85","2"
"1802091","18","91","2"
"1802099","18","99","2"
"1802103","18","103","2"
"1802131","18","131","2"
"1802141","18","141","2"
"1802149","18","149","2"
"1802169","18","169","2"
"1803001","18","1","3"
"1803003","18","3","3"
"1803009","18","9","3"
"1803033","18","33","3"
"1803069","18","69","3"
"1803075","18","75","3"
"1803085","18","85","3"
"1803087","18","87","3"
"1803113","18","113","3"
"1803151","18","151","3"
